<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20110302,000000,51.259,51.778,51.259,51.778,1163,0
CCC,D,20110303,000000,51.259,51.606,51.259,51.519,20184,0
CCC,D,20110304,000000,51.519,51.735,51.171,51.519,4405,0
CCC,D,20110307,000000,51.778,51.821,51.778,51.778,6484,0
CCC,D,20110308,000000,51.778,52.341,51.519,51.519,1074,0
CCC,D,20110309,000000,52.817,52.817,50.566,51.43,1224,0
CCC,D,20110310,000000,50.652,51.561,50.652,51.43,759,0
CCC,D,20110311,000000,50.609,50.609,50.22,50.22,3035,0
CCC,D,20110314,000000,49.354,49.959,48.487,48.922,2934,0
CCC,D,20110315,000000,48.487,48.487,45.89,48.487,132289,0
CCC,D,20110316,000000,48.791,49.354,46.972,49.354,24777,0
CCC,D,20110317,000000,49.354,51.086,49.007,50.998,1586,0
CCC,D,20110318,000000,51.086,51.086,50.22,50.22,3303,0
CCC,D,20110321,000000,50.738,51.519,49.223,51.519,37711,0
CCC,D,20110322,000000,51.606,51.951,51.606,51.951,69733,0
CCC,D,20110323,000000,52.341,52.385,50.22,51.519,24029,0
CCC,D,20110324,000000,51.951,51.951,50.738,51.086,1906,0
CCC,D,20110325,000000,50.393,52.817,50.393,51.519,4529,0
CCC,D,20110328,000000,50.695,52.385,50.566,51.43,4728,0
CCC,D,20110329,000000,50.826,51.519,50.478,51.086,2810,0
CCC,D,20110330,000000,50.782,51.519,50.782,51.519,1529,0
CCC,D,20110331,000000,50.826,51.517,50.655,51.517,17663,0
CCC,D,20110401,000000,50.695,51.519,50.652,50.652,40419,0
CCC,D,20110404,000000,50.652,50.652,50.523,50.523,2100,0
CCC,D,20110405,000000,50.393,50.652,50.22,50.652,37435,0
CCC,D,20110406,000000,50.652,51.43,50.652,51.43,1893,0
CCC,D,20110407,000000,50.955,51.086,50.652,51.086,3201,0
CCC,D,20110408,000000,51.086,51.086,50.22,51.043,3196,0
CCC,D,20110411,000000,51.043,51.043,50.826,50.911,716,0
